Date,Close,High,Low,Open,Volume,Daily_Return,Tomorrow_Direction,MA5,MA20,MA_Signal,Volatility5,RSI14,Volume_Change,DayOfWeek,Target
2019-05-02,11724.75,11789.2998046875,11699.5498046875,11725.5498046875,380300,-0.1991836148409698,0,11719.1001953125,11669.367626953124,1,0.8439472239022501,56.35266537896422,-28.595568907247472,3,0
2019-05-03,11712.25,11770.900390625,11699.349609375,11722.599609375,305500,-0.10661208128105448,0,11716.3201171875,11671.522607421875,1,0.6141517749592638,52.260217176270324,-19.668682618985013,4,0
2019-05-06,11598.25,11632.5498046875,11571.349609375,11605.7998046875,299000,-0.973339879186319,0,11707.61015625,11665.77509765625,1,0.6918246165404557,50.75993663027553,-2.127659574468088,0,0
2019-05-07,11497.900390625,11657.0498046875,11484.4501953125,11651.5,337500,-0.8652133673183404,0,11656.26015625,11658.472607421874,0,0.442265203419315,45.08850506970788,12.87625418060201,1,0
2019-05-08,11359.4501953125,11479.099609375,11346.9501953125,11478.7001953125,372800,-1.2041345863927244,0,11578.5201171875,11646.5451171875,0,0.48849172281147646,37.06152644232908,10.459259259259257,2,0
2019-05-09,11301.7998046875,11357.599609375,11255.0498046875,11322.400390625,373000,-0.5075103956069027,0,11493.930078125,11628.33759765625,0,0.43023406499301,32.470165686949215,0.053648068669520654,3,0
2019-05-10,11278.900390625,11345.7998046875,11251.0498046875,11314.150390625,387300,-0.20261741013145596,0,11407.26015625,11612.0576171875,0,0.3961755818344979,25.431467480380974,3.8337801608579136,4,0
2019-05-13,11148.2001953125,11300.2001953125,11125.599609375,11258.7001953125,357600,-1.1588026384304118,1,11317.2501953125,11585.8701171875,0,0.4295262205799735,23.264394500785087,-7.668474051123164,0,1
2019-05-14,11222.0498046875,11294.75,11108.2998046875,11151.650390625,398100,0.6624352638199937,0,11262.080078125,11567.7576171875,0,0.7694117197265296,32.20225704978017,11.325503355704702,1,0
2019-05-15,11157.0,11286.7998046875,11136.9501953125,11271.7001953125,414200,-0.5796606308085428,1,11221.5900390625,11545.772607421875,0,0.6667459374990873,30.830481770402784,4.0442099974880685,2,1
2019-05-16,11257.099609375,11281.5498046875,11143.349609375,11180.349609375,350700,0.8971910851931497,1,11212.65,11526.455078125,0,0.8565270949455838,27.506804511489463,-15.330758087880248,3,1
2019-05-17,11407.150390625,11426.150390625,11259.849609375,11261.900390625,412100,1.3329435330307948,1,11238.3,11512.2951171875,0,1.0527284041182638,39.41447692455445,17.507841459937268,4,1
2019-05-20,11828.25,11845.2001953125,11591.7001953125,11651.900390625,452100,3.6915407876193296,0,11374.3099609375,11514.35009765625,0,1.5631144043300973,52.59775623570417,9.706381946129582,0,0
2019-05-21,11709.099609375,11883.5498046875,11682.7998046875,11863.650390625,381000,-1.0073374389702572,1,11471.719921875,11512.165087890626,0,1.8575530499529571,48.723204798103644,-15.726609157266092,1,1
2019-05-22,11737.900390625,11784.7998046875,11682.400390625,11727.9501953125,355900,0.24596922232125173,0,11587.9,11519.33759765625,1,1.729063273073479,50.42844906909528,-6.587926509186348,2,0
2019-05-23,11657.0498046875,12041.150390625,11614.5,11901.2998046875,569000,-0.6887993870017373,1,11667.8900390625,11523.392578125,1,1.8972834540492334,48.278223278725875,59.87636976678843,3,1
2019-05-24,11844.099609375,11859.0,11658.099609375,11748.0,374600,1.6046067214389392,1,11755.2798828125,11529.2900390625,1,1.9231223310283017,57.33419333487154,-34.165202108963086,4,1
2019-05-27,11924.75,11957.150390625,11812.400390625,11855.5,348400,0.6809330661248669,1,11774.5798828125,11543.437548828126,1,1.0545778069579015,62.88523581101159,-6.994127068873468,0,1
2019-05-28,11928.75,11958.5498046875,11864.900390625,11958.349609375,598300,0.03354368016101894,0,11818.5099609375,11552.142529296874,1,0.8471183376504007,68.70357097252551,71.72789896670493,1,0
2019-05-29,11861.099609375,11931.900390625,11836.7998046875,11905.7998046875,318100,-0.5671205333752538,1,11843.1498046875,11557.789990234374,1,0.9499427217911531,68.25508536866015,-46.832692629115826,2,1
2019-05-30,11945.900390625,11968.5498046875,11859.400390625,11865.2998046875,421200,0.7149487319284775,0,11900.919921875,11568.847509765625,1,0.8147399131511546,70.9247978314443,32.41119144922979,3,0
2019-05-31,11922.7998046875,12039.25,11829.4501953125,11999.7998046875,438900,-0.19337668306382838,1,11916.6599609375,11579.375,1,0.5580040200024008,76.0596817603583,4.202279202279202,4,1
2019-06-03,12088.5498046875,12103.0498046875,11920.099609375,11953.75,315300,1.3901936014629301,0,11949.419921875,11603.889990234375,1,0.7784687672193749,77.45383909929467,-28.161312371838687,0,0
2019-06-04,12021.650390625,12095.2001953125,12005.849609375,12052.650390625,289200,-0.5534114111566901,0,11968.0,11630.077490234375,1,0.8636932635959704,77.36316593648941,-8.277830637488105,1,0
2019-06-06,11843.75,12039.7998046875,11830.25,12039.7998046875,415200,-1.4798333410505293,1,11964.530078125,11654.29248046875,1,1.1151685918765708,67.69413386429775,43.56846473029046,3,1
2019-06-07,11870.650390625,11897.5,11769.5,11865.2001953125,302500,0.22712730870713127,1,11949.480078125,11682.735009765625,1,1.0539854229029133,65.10162055803806,-27.14354527938343,4,1
2019-06-10,11922.7001953125,11975.0498046875,11871.75,11934.900390625,303300,0.43847475053773177,1,11949.46015625,11714.925,1,1.0808046041441206,54.05173071074219,0.26446280991736515,0,1
2019-06-11,11965.599609375,12000.349609375,11904.349609375,11959.849609375,332200,0.35981290613484873,0,11924.8701171875,11755.794970703126,1,0.8164464128282907,61.77358652951376,9.528519617540399,1,0
2019-06-12,11906.2001953125,11962.4501953125,11866.349609375,11962.4501953125,283700,-0.49641819885031246,1,11901.780078125,11790.002490234376,1,0.8106836552851587,57.51404586236755,-14.599638771824196,2,1
2019-06-13,11914.0498046875,11931.349609375,11817.0498046875,11873.900390625,447900,0.06592875347493088,0,11915.8400390625,11827.85498046875,1,0.3719215651367036,62.274329167389595,57.878040183292214,3,0
2019-06-14,11823.2998046875,11911.849609375,11797.7001953125,11910.099609375,390300,-0.7617057296864349,0,11906.369921875,11856.164990234374,1,0.5295436844570314,48.905965081696905,-12.860013395847291,4,0
2019-06-17,11672.150390625,11844.0498046875,11657.75,11844.0,295500,-1.2784029548381648,1,11856.2599609375,11869.414990234374,0,0.6526235203984005,37.63100058721928,-24.28900845503459,0,1
2019-06-18,11691.5,11727.2001953125,11641.150390625,11677.0498046875,365500,0.1657758744313398,0,11801.4400390625,11862.577490234375,0,0.5979815793449261,38.55467321948811,23.68866328257191,1,0
2019-06-19,11691.4501953125,11802.5,11625.099609375,11744.4501953125,446900,-0.0004259905700743083,1,11758.4900390625,11861.69501953125,0,0.6308654627176814,41.24479261688074,22.270861833105336,2,1
2019-06-20,11831.75,11843.5,11635.0498046875,11653.650390625,442000,1.2000205478679637,0,11742.030078125,11866.3875,0,0.9474949246481215,44.42814214839475,-1.0964421570821226,3,0
2019-06-21,11724.099609375,11827.9501953125,11705.099609375,11827.599609375,468400,-0.9098433505187353,0,11722.1900390625,11869.739990234375,0,0.9739398382419703,41.04064161421598,5.972850678733033,4,0
2019-06-24,11699.650390625,11754.0,11670.2001953125,11725.7998046875,277600,-0.2085381356743965,1,11727.6900390625,11862.517529296874,0,0.7626653109305347,29.90384722133912,-40.73441502988898,0,1
2019-06-25,11796.4501953125,11814.400390625,11651.0,11681.0,300500,0.8273734808782462,1,11748.680078125,11856.1025390625,0,0.84124811228001,38.71173650455192,8.249279538904908,1,1
2019-06-26,11847.5498046875,11871.849609375,11757.5498046875,11768.150390625,327900,0.4331778503613437,0,11779.9,11852.042529296876,0,0.8401260781211574,50.218204943286906,9.118136439267888,2,0
2019-06-27,11841.5498046875,11911.150390625,11821.0498046875,11860.849609375,480200,-0.05064338279993086,0,11781.8599609375,11851.0650390625,0,0.6603753358850408,48.287789692148046,46.44708752668496,3,0
2019-06-28,11788.849609375,11871.7001953125,11775.5,11861.150390625,303900,-0.44504474652159454,1,11794.8099609375,11843.2125,0,0.5134218888245081,42.13056793480445,-36.71386922115785,4,1
2019-07-01,11865.599609375,11884.650390625,11830.7998046875,11839.900390625,278400,0.6510389269786421,1,11827.9998046875,11840.352490234374,0,0.5233821314897009,44.34579026415761,-8.390918065153008,0,1
2019-07-02,11910.2998046875,11917.4501953125,11814.7001953125,11890.2998046875,363200,0.3767209141051886,1,11850.7697265625,11831.439990234376,1,0.4380929173135933,50.235718745648356,30.45977011494252,1,1
2019-07-03,11916.75,11945.2001953125,11887.0498046875,11932.150390625,340500,0.054156447933917384,1,11864.609765625,11826.194970703125,1,0.4185093009726006,50.15550568875241,-6.25,2,1
2019-07-04,11946.75,11969.25,11923.650390625,11928.7998046875,333600,0.25174649128327786,0,11885.6498046875,11831.344970703125,1,0.4099438902785599,57.6444649243433,-2.026431718061672,3,0
2019-07-05,11811.150390625,11981.75,11797.900390625,11964.75,530700,-1.1350334557515662,0,11890.1099609375,11828.369970703125,1,0.6914639853696579,58.77637796829218,59.08273381294964,4,0
2019-07-08,11558.599609375,11771.900390625,11523.2998046875,11770.400390625,464000,-2.138240331360608,0,11828.7099609375,11810.16494140625,1,1.0870035773048274,43.517684066525554,-12.568306010928964,0,0
2019-07-09,11555.900390625,11582.5498046875,11461.0,11531.599609375,442500,-0.023352472109261502,0,11757.830078125,11789.67998046875,0,1.017145763847162,43.405500681765275,-4.633620689655171,1,0
2019-07-10,11498.900390625,11593.7001953125,11475.650390625,11536.150390625,337600,-0.4932545113165099,1,11674.26015625,11769.314990234376,0,0.957067849147361,32.37863917048213,-23.706214689265536,2,1
2019-07-11,11582.900390625,11599.0,11519.5,11561.4501953125,317300,0.7305046321514741,0,11601.490234375,11752.75751953125,0,1.09154690206024,42.33278679136025,-6.013033175355453,3,0
2019-07-12,11552.5,11639.5498046875,11538.599609375,11601.150390625,359400,-0.26245922523520093,1,11549.76015625,11739.217529296875,0,1.0561745134206968,42.06094466549771,13.26820044122281,4,1
2019-07-15,11588.349609375,11618.400390625,11532.2998046875,11614.75,368800,0.31031905972733753,1,11555.71015625,11735.027490234375,0,0.4819133055383196,37.98217643323381,2.6154702281580455,0,1
2019-07-16,11662.599609375,11670.0498046875,11573.9501953125,11596.650390625,480200,0.6407297199588324,1,11577.05,11733.582470703124,0,0.5434193931582182,39.59726898718533,30.206073752711493,1,1
2019-07-17,11687.5,11706.650390625,11651.150390625,11670.75,464800,0.21350634900458854,0,11614.769921875,11733.3849609375,0,0.3942912675506533,41.515685120783445,-3.206997084548102,2,0
2019-07-18,11596.900390625,11677.150390625,11582.400390625,11675.599609375,498300,-0.7751838235294128,0,11617.569921875,11721.64248046875,0,0.5520396099693301,39.852010639703934,7.207401032702232,3,0
2019-07-19,11419.25,11640.349609375,11399.2998046875,11627.9501953125,446000,-1.531878214359883,0,11590.919921875,11706.4,0,0.8998491360101257,28.677234854493037,-10.495685330122416,4,0
2019-07-22,11346.2001953125,11398.150390625,11301.25,11392.849609375,516000,-0.6397075524881224,0,11542.4900390625,11688.727490234374,0,0.8569082220486028,23.762808866279073,15.695067264573993,0,0
2019-07-23,11331.0498046875,11398.150390625,11302.7998046875,11372.25,458900,-0.13352832106081625,0,11476.180078125,11665.457470703124,0,0.6664275237610033,22.976834467414434,-11.065891472868216,1,0
2019-07-24,11271.2998046875,11359.75,11229.7998046875,11322.4501953125,413200,-0.5273121293252303,0,11392.9400390625,11636.644970703124,0,0.5122754214330913,19.6685941519401,-9.958596644149054,2,0
2019-07-25,11252.150390625,11361.400390625,11239.349609375,11290.400390625,553700,-0.16989534831232112,1,11323.9900390625,11607.175,0,0.5652083649833924,21.965897693079228,34.002904162633115,3,1
2019-07-26,11284.2998046875,11307.599609375,11210.0498046875,11247.4501953125,522700,0.28571795564771296,0,11297.0,11581.947509765625,0,0.36568359751291357,32.33966729415255,-5.598699656853889,4,0
2019-07-29,11189.2001953125,11310.9501953125,11152.400390625,11307.5,482900,-0.8427603929443195,0,11265.6,11548.1275390625,0,0.4276232182868185,28.90100072483719,-7.614310311842354,0,0
2019-07-30,11085.400390625,11267.4501953125,11072.650390625,11213.7001953125,479100,-0.9276785013729971,1,11216.4701171875,11506.882568359375,0,0.501803602104142,27.424081179127683,-0.7869124042244824,1,1
2019-07-31,11118.0,11145.2998046875,10999.400390625,11034.0498046875,536700,0.294076968140633,0,11185.81015625,11466.945068359375,0,0.5911005576361672,23.108443371925915,12.022542266750147,2,0
2019-08-01,10980.0,11076.75,10881.0,11060.2001953125,499900,-1.2412304371289817,1,11131.380078125,11418.607568359375,0,0.72401637866948,20.55035234686926,-6.856716974100985,3,1
2019-08-02,10997.349609375,11080.150390625,10848.9501953125,10930.2998046875,547400,0.15801101434427256,0,11073.9900390625,11377.917529296876,0,0.6914916643270921,19.00885104395617,9.501900380076012,4,0
